Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"D7","W01241176907",3,5000,,0.0022,0.0069,1612,,0.1085,0.2598,0.4084,,
"D8","W01241176908",1,35,,0.5682,0.0118,1733,,0.1081,0.2609,0.3614,,
"D8","W01241176908",2,683,100.0,0.2609,0.1081,3271,,0.1081,0.2609,0.3614,,
"D8","W01241176908",3,5000,,0.0018,0.0056,1913,,0.1081,0.2609,0.3614,,
"D9","W01241176909",1,35,,0.5225,0.0118,1665,,0.1402,0.3561,0.3690,,
"D9","W01241176909",2,672,100.0,0.3561,0.1402,1805,,0.1402,0.3561,0.3690,,
"D9","W01241176909",3,5000,,0.0022,0.0066,1687,,0.1402,0.3561,0.3690,,
"D10","W01241176910",1,35,,0.5225,0.0118,1571,,0.2362,0.5499,0.6139,,
"D10","W01241176910",2,683,100.0,0.5499,0.2362,5279,,0.2362,0.5499,0.6139,,
"D10","W01241176910",3,5000,,0.0028,0.0084,2136,,0.2362,0.5499,0.6139,,
"D11","W01241176911",1,35,,0.5225,0.0118,1890,,0.2546,0.4949,0.5013,,
"D11","W01241176911",2,664,59.7,0.3737,0.1519,2955,,0.2546,0.4949,0.5013,,
"D11","W01241176911",3,1195,40.3,0.1211,0.1027,1815,,0.2546,0.4949,0.5013,,
"D11","W01241176911",4,5000,,0.0022,0.0068,1971,,0.2546,0.4949,0.5013,,
"D12","W01241176912",1,35,,0.5369,0.0118,1569,,0.1679,0.4074,0.4607,,
"D12","W01241176912",2,681,100.0,0.4074,0.1679,4040,,0.1679,0.4074,0.4607,,
"D12","W01241176912",3,5000,,0.0030,0.0090,2123,,0.1679,0.4074,0.4607,,
"E1","W01241176913",1,35,,0.5369,0.0118,1682,,0.1769,0.3385,0.3543,,
"E1","W01241176913",2,677,58.4,0.2496,0.1033,2822,,0.1769,0.3385,0.3543,,
"E1","W01241176913",3,1200,41.6,0.0889,0.0736,1468,,0.1769,0.3385,0.3543,,
"E1","W01241176913",4,5000,,0.0023,0.0070,2214,,0.1769,0.3385,0.3543,,
"E2","W01241176914",1,35,,0.5369,0.0118,1464,,0.0000,0.0000,0.3658,,
"E2","W01241176914",2,5000,,0.0022,0.0068,1673,,0.0000,0.0000,0.3658,,
"E3","W01241176915",1,35,,0.5088,0.0118,1482,,0.2123,0.4914,0.5607,,
"E3","W01241176915",2,684,100.0,0.4914,0.2123,4652,,0.2123,0.4914,0.5607,,
"E3","W01241176915",3,5000,,0.0025,0.0076,1902,,0.2123,0.4914,0.5607,,
"E4","W01241176916",1,35,,0.5369,0.0118,1576,,0.1609,0.3766,0.4448,,
"E4","W01241176916",2,681,100.0,0.3766,0.1609,3452,,0.1609,0.3766,0.4448,,
"E4","W01241176916",3,5000,,0.0030,0.0090,2199,,0.1609,0.3766,0.4448,,
"E5","W01241176917",1,35,,0.5521,0.0118,1524,,0.3809,0.8153,0.4797,,
"E5","W01241176917",2,497,18.8,0.2431,0.0717,1085,,0.3809,0.8153,0.4797,,
"E5","W01241176917",3,685,39.0,0.3765,0.1487,1688,,0.3809,0.8153,0.4797,,
"E5","W01241176917",4,1085,42.1,0.1956,0.1606,1397,,0.3809,0.8153,0.4797,,
"E5","W01241176917",5,5000,,0.0031,0.0093,2032,,0.3809,0.8153,0.4797,,
"E6","W01241176918",1,35,,0.5369,0.0118,1194,,0.1312,0.3111,0.3896,,
"E6","W01241176918",2,672,100.0,0.3111,0.1312,1789,,0.1312,0.3111,0.3896,,
"E6","W01241176918",3,5000,,0.0023,0.0069,854,,0.1312,0.3111,0.3896,,
"E7","W01241176919",1,35,,0.5088,0.0118,1868,,0.1457,0.3263,0.3400,,
"E7","W01241176919",2,676,100.0,0.3263,0.1457,2948,,0.1457,0.3263,0.3400,,
"E7","W01241176919",3,5000,,0.0030,0.0091,2708,,0.1457,0.3263,0.3400,,
"E8","W01241176920",1,35,,0.5369,0.0118,1652,,0.0454,0.1063,0.1362,,
"E8","W01241176920",2,685,100.0,0.1063,0.0454,1592,,0.0454,0.1063,0.1362,,
