Size (nt),"A1: TR241116654","A2: TR241116655","A3: TR241116656","A4: TR241116657","A5: TR241116658","A6: TR241116659","A7: TR241116702","A8: TR241116703","A9: TR241116704","A10: TR241116705","A11: TR241116706","A12: TR241116707","B1: TR241116660","B2: TR241116661","B3: TR241116662","B4: TR241116663","B5: TR241116664","B6: TR241116665","B7: TR241116709","B8: TR241116710","B9: TR241116712","B10: TR241116713","B11: TR241116715","B12: TR241116716","C1: TR241116666","C2: TR241116667","C3: TR241116668","C4: TR241116669","C5: TR241116670","C6: TR241116671","C7: TR241116718","C8: TR241116719","C9: TR241116721","C10: TR241116722","C11: TR241116724","C12: TR241116725","D1: TR241116672","D2: TR241116673","D3: TR241116674","D4: TR241116675","D5: TR241116676","D6: TR241116677","D7: TR241116727","D8: TR241116728","D9: TR241116730","D10: TR241116731","D11: TR241116733","D12: TR241116734","E1: TR241116678","E2: TR241116679","E3: TR241116680","E4: TR241116681","E5: TR241116682","E6: TR241116683","E7: TR241116708","E8: TR241116711","E9: TR241116714","E10: TR241116717","E11: TR241116720","E12: TR241116723","F1: TR241116684","F2: TR241116685","F3: TR241116686","F4: TR241116687","F5: TR241116688","F6: TR241116689","F7: TR241116726","F8: TR241116729","F9: TR241116732","F10: R241117373","F11: R241117374","F12: R241117375","G1: TR241116690","G2: TR241116691","G3: TR241116692","G4: TR241116693","G5: TR241116694","G6: TR241116695","G7: R241117383","G8: R241117388","G9: R241117398","G10: R241117430","G11: R241117431","G12: TR241117931","H1: TR241116696","H2: TR241116697","H3: TR241116698","H4: TR241116699","H5: TR241116700","H6: TR241116701","H7: TR241117932","H8: TR241117933","H9: TR241117934","H10: TR241117935","H11: TR241117936","H12:"
760.98,3099.95,4695.33,2846.07,4096.61,3117.90,2292.94,79.58,198.52,199.16,343.53,144.79,101.70,869.66,3519.73,3607.78,2295.34,5203.29,2221.38,1468.62,4278.96,5423.79,2560.48,1644.74,1344.07,2192.37,1075.85,1728.11,44.41,108.57,59.43,1955.18,1764.12,2063.76,1743.83,201.10,178.10,102.47,73.60,62.34,65.90,130.96,42.99,124.58,130.72,74.76,130.38,105.82,84.47,99.99,47.54,87.70,3389.56,1452.52,1478.46,4532.10,2444.86,1680.59,2514.96,1393.92,159.22,1352.26,873.27,2150.82,1236.23,2328.46,2978.51,190.28,110.63,304.66,133.67,102.37,136.28,2070.63,1089.17,2000.90,1507.09,1032.82,1365.66,195.41,212.73,86.58,246.37,262.82,40.88,194.73,158.07,159.28,122.46,200.92,175.95,39.78,83.16,40.17,54.41,68.13,177.61
765.18,2965.14,4931.99,2974.20,4703.99,3458.65,2596.56,82.40,202.47,198.07,351.04,141.32,99.39,953.83,3847.66,4058.18,2335.33,5750.68,2225.74,1567.02,4788.58,6160.36,2787.98,1842.38,1348.86,2142.01,1000.03,1816.15,46.54,112.51,67.04,2182.87,1905.87,2298.29,1812.58,196.75,170.01,97.26,76.97,67.09,74.67,132.32,44.79,131.44,132.37,78.74,126.91,102.33,80.59,106.38,47.22,93.61,3393.56,1294.65,1318.31,5025.20,2694.01,1836.35,2856.03,1284.30,145.92,1437.81,758.48,2014.29,1149.45,2259.71,2824.52,190.69,111.18,317.44,135.60,106.04,138.64,1828.67,933.15,1799.24,1441.50,935.02,1207.50,194.36,224.85,89.31,243.90,258.35,45.35,189.95,159.31,158.35,121.72,203.23,176.85,43.20,88.02,44.02,60.49,74.11,178.94
769.37,2897.74,5371.53,3249.66,5379.14,3918.59,2923.86,88.48,208.59,203.28,373.04,142.45,97.08,1068.36,4178.54,4427.38,2475.27,6285.82,2331.80,1699.53,5213.27,6696.95,3061.67,2072.75,1394.54,2186.45,924.22,1980.07,50.56,118.94,76.31,2444.97,2102.21,2572.76,1948.18,197.31,161.91,93.16,82.69,73.78,85.49,138.49,49.22,142.02,137.42,87.17,126.38,102.63,80.47,116.38,50.44,102.05,3458.85,1213.57,1223.18,5415.82,2909.81,2005.58,3228.80,1222.31,136.07,1560.16,677.02,1982.41,1120.83,2297.91,2789.16,191.11,114.39,341.64,136.63,109.46,140.85,1620.16,814.09,1671.81,1375.91,887.91,1113.71,191.52,235.82,90.78,242.23,254.98,50.54,189.20,164.22,157.43,123.33,209.34,177.76,45.55,92.05,48.19,66.90,80.35,180.30
773.56,2945.62,6022.30,3627.86,6008.14,4412.77,3241.45,97.78,216.87,214.14,409.63,149.30,96.04,1187.09,4484.37,4698.71,2696.06,6796.72,2524.14,1861.09,5499.05,6985.06,3334.18,2310.86,1475.81,2310.24,820.04,2213.53,56.15,126.18,85.72,2702.72,2334.19,2858.54,2133.11,200.03,146.72,92.09,90.42,81.57,96.84,149.76,56.52,154.62,145.13,99.47,130.25,106.76,84.85,128.57,57.19,111.10,3542.43,1203.18,1197.90,5664.45,3083.35,2170.26,3577.40,1220.09,131.16,1688.02,631.96,2040.19,1139.41,2425.15,2847.17,193.69,120.69,372.53,136.18,111.98,142.31,1472.66,739.18,1619.66,1300.89,883.08,1083.61,187.06,239.90,90.90,241.65,252.17,55.93,193.69,172.16,158.63,127.88,219.43,183.35,46.40,94.45,52.13,72.58,85.82,181.76
777.76,3112.90,6797.02,4035.32,6518.12,4858.22,3392.06,109.61,226.74,228.54,433.43,161.81,98.96,1289.78,4765.61,4888.98,2987.95,7272.62,2792.78,2045.60,5647.94,7054.03,3578.88,2546.88,1585.60,2492.08,771.86,2509.08,62.44,132.07,93.54,2937.87,2592.51,3146.54,2355.46,202.76,135.38,95.13,99.19,89.15,107.01,165.04,66.22,167.14,154.10,114.04,138.99,114.08,93.54,140.93,67.09,118.59,3622.61,1251.00,1238.11,5780.30,3215.64,2324.62,3869.71,1277.90,131.42,1744.98,620.12,2169.53,1193.02,2621.75,2969.56,197.70,129.75,403.91,133.87,112.95,142.30,1392.09,704.96,1627.77,1271.28,908.60,1107.50,181.74,243.98,89.67,242.40,249.59,60.77,203.51,181.65,162.45,135.33,232.55,193.50,45.53,94.70,55.25,76.50,89.57,183.46
781.95,3366.07,7555.01,4411.51,6904.23,5215.73,3542.66,122.58,237.01,243.46,457.22,178.61,105.54,1368.12,4891.48,5005.22,3345.17,7649.90,3127.91,2231.37,5685.33,6958.31,3795.25,2785.02,1721.71,2720.76,779.10,2838.98,68.31,134.81,98.37,3143.49,2869.05,3438.47,2610.47,211.53,129.33,102.37,107.72,95.11,114.57,182.18,77.22,177.62,162.77,128.73,151.76,123.20,105.37,151.43,79.45,120.67,3691.35,1340.70,1335.83,5781.00,3293.96,2463.03,3986.13,1391.87,135.97,1801.94,634.97,2350.36,1269.02,2857.74,3133.64,202.35,140.41,430.42,129.71,112.00,140.41,1367.20,702.43,1677.54,1270.85,951.25,1171.88,176.62,248.35,88.46,244.45,247.20,64.32,217.24,190.74,168.00,145.00,246.77,207.73,43.01,92.85,56.94,77.98,91.03,185.47
786.14,3662.38,8179.13,4736.67,7198.43,5493.78,3832.23,134.97,246.10,255.86,509.14,197.24,114.88,1422.52,5017.36,5013.71,3738.89,7802.55,3496.36,2374.22,5616.11,6720.95,3986.22,3023.28,1883.64,2992.48,836.69,3139.90,72.77,133.61,99.49,3301.96,3135.61,3718.11,2884.62,221.21,128.44,113.13,114.80,98.39,118.69,198.57,88.04,184.75,169.96,141.44,166.53,127.75,118.45,158.58,93.24,122.74,3731.08,1394.89,1477.68,5656.31,3283.69,2564.22,4102.56,1558.72,143.24,1893.71,668.38,2551.04,1350.92,3080.75,3312.57,206.67,150.99,449.09,124.20,109.13,136.75,1380.22,720.92,1753.20,1285.19,995.70,1259.28,172.80,249.08,87.24,247.48,245.11,66.05,232.06,197.57,174.04,155.80,259.65,224.34,39.20,89.46,56.83,76.88,90.12,187.79
790.34,3979.29,8631.73,5021.35,7405.56,5709.55,4092.98,145.10,252.51,263.51,557.65,214.72,125.70,1452.86,5194.50,4852.67,4093.97,7600.56,3823.72,2420.53,5410.96,6322.20,4128.13,3127.00,2059.88,3288.95,935.18,3323.20,75.16,128.68,96.90,3372.90,3332.31,3930.00,3136.07,229.64,131.56,126.32,119.56,98.59,119.10,211.89,97.27,187.95,174.87,150.64,180.66,132.30,130.71,161.74,107.29,122.67,3703.60,1449.09,1637.56,5371.27,3146.90,2589.97,4278.85,1770.17,151.55,1957.02,710.38,2721.23,1416.44,3219.63,3460.13,209.75,159.81,459.58,118.14,104.79,131.91,1415.55,748.96,1838.02,1302.95,1024.66,1345.28,171.17,247.42,83.92,250.80,243.30,65.80,244.44,200.92,179.25,166.38,269.02,240.87,34.61,85.28,54.91,73.56,87.16,190.31
794.53,4318.30,8944.44,5265.04,7464.43,5841.48,4265.99,151.74,255.17,265.39,596.30,228.40,136.56,1451.64,5213.93,4480.51,4299.88,6996.59,4007.38,2335.15,5035.08,5738.77,4164.46,3230.72,2217.42,3556.45,1056.36,3312.64,75.22,120.95,93.99,3307.40,3384.64,3991.93,3294.39,235.41,137.17,140.70,120.55,95.91,115.96,220.48,100.57,187.55,177.00,153.09,191.69,139.68,140.35,160.99,120.42,118.52,3566.05,1544.04,1773.95,4905.43,2873.38,2504.02,4378.31,2000.25,159.34,1978.98,748.73,2801.53,1441.92,3210.68,3513.52,211.01,165.68,463.02,112.33,99.72,126.81,1460.58,773.79,1907.41,1313.10,1022.87,1400.01,172.31,245.14,80.20,253.52,241.51,63.68,251.26,200.29,182.49,175.47,273.47,254.68,29.83,80.93,51.63,68.72,82.73,192.89
798.72,4676.18,9150.30,5421.37,7272.84,5818.86,4268.77,154.24,253.69,261.57,621.37,236.49,146.19,1406.41,5000.38,3918.75,4259.37,6071.87,3961.83,2124.06,4491.87,4993.88,4034.46,3345.73,2306.69,3711.28,1170.38,3086.36,72.98,111.52,91.08,3080.83,3243.34,3839.22,3288.75,237.81,143.85,154.77,121.53,90.95,109.70,223.48,103.86,187.15,176.08,155.54,198.01,144.25,146.28,158.89,131.66,111.13,3301.46,1590.48,1840.31,4290.45,2497.56,2297.94,4352.12,2199.04,165.20,1941.74,770.64,2749.06,1412.34,3031.02,3420.17,210.24,168.04,460.85,107.42,94.75,122.32,1500.67,782.56,1930.08,1303.52,983.47,1397.49,176.42,243.82,76.58,254.67,239.33,60.05,250.83,195.85,183.09,182.07,272.59,263.56,25.38,76.72,47.67,63.14,77.54,195.30
802.92,5007.85,9217.30,5405.51,6760.65,5563.19,4043.31,152.41,248.34,252.72,631.78,238.30,153.57,1309.94,4541.20,3253.99,3943.92,5004.50,3666.78,1834.06,3842.06,4172.04,3716.21,3303.48,2283.56,3676.32,1241.44,2691.82,68.75,101.35,82.78,2717.46,2918.02,3469.14,3088.47,236.37,150.32,166.49,120.56,84.36,100.97,220.72,107.25,182.63,172.21,155.94,199.00,145.66,148.10,156.79,140.30,101.55,2936.78,1564.16,1805.41,3611.66,2086.83,2002.71,4151.12,2304.85,167.83,1834.24,767.09,2561.69,1329.53,2713.43,3169.67,207.58,166.88,454.34,103.85,90.56,119.11,1516.52,766.49,1880.33,1264.46,911.73,1327.79,183.28,244.35,73.35,253.56,236.38,55.45,243.27,188.16,180.85,185.53,266.69,266.16,21.74,72.85,43.66,57.50,72.19,197.30
807.11,5218.28,9044.50,5144.40,5952.75,5049.64,3598.58,146.47,240.02,239.74,628.01,233.92,157.95,1169.26,3905.61,2926.35,3414.46,3985.99,3182.32,1529.73,3182.66,3387.33,3249.50,3075.53,2134.68,3425.45,1241.70,2222.55,63.03,91.24,72.85,2285.54,2477.74,2950.59,2725.52,230.62,155.22,173.37,116.83,80.55,95.82,212.58,107.27,174.87,166.03,152.02,194.88,144.12,145.95,149.65,143.12,90.66,2734.66,1463.90,1669.93,2972.17,1710.87,1676.42,3766.00,2272.07,166.24,1664.03,737.02,2281.18,1211.76,2330.27,2804.22,203.48,162.50,444.92,102.00,87.59,117.61,1489.27,724.82,1753.18,1194.39,822.64,1202.91,187.80,246.82,70.51,250.07,232.44,50.52,230.15,178.10,176.02,185.59,256.50,262.14,19.35,69.64,40.02,52.31,67.21,198.68
811.30,5200.13,8529.38,4632.02,4973.13,4338.60,3014.53,137.05,230.17,223.73,611.28,223.98,158.83,1005.73,3213.81,2598.71,2791.95,3145.77,2619.61,1264.66,2604.35,2733.51,2720.98,2692.25,1887.37,3002.57,1164.92,1773.84,56.51,81.83,62.20,1866.07,2017.92,2392.14,2281.50,220.48,157.05,173.19,110.76,76.74,90.68,199.93,104.07,164.72,158.61,144.24,186.33,140.07,140.29,140.15,145.93,79.09,2532.54,1312.51,1466.46,2448.76,1414.31,1377.43,3245.97,2096.37,160.21,1458.32,687.77,1971.87,1084.62,1957.97,2398.14,198.73,155.51,434.49,102.19,86.01,118.09,1410.41,665.43,1569.34,1102.36,733.57,1050.85,192.31,250.99,67.86,244.93,227.65,45.90,213.68,166.79,169.12,182.34,243.02,252.13,18.61,67.65,36.97,47.95,62.99,199.36
815.50,4895.20,7653.74,3946.16,3989.38,3553.07,2405.23,125.26,220.50,206.05,583.55,209.52,156.08,846.01,2581.09,2042.32,2199.99,2525.57,2088.71,1064.85,2158.32,2252.05,2223.91,2231.54,1596.93,2500.94,1029.69,1406.99,49.94,73.64,51.74,1518.37,1618.08,1892.75,2065.15,206.77,154.68,165.01,103.06,68.70,79.87,184.18,98.07,153.46,154.90,133.40,174.32,134.12,135.97,129.08,148.36,67.42,2152.94,1144.86,1242.62,2259.03,1207.93,1141.97,2681.09,1818.75,150.58,1252.59,631.23,1690.29,969.47,1646.67,2021.93,194.36,146.81,425.22,104.57,85.85,119.34,1288.14,600.75,1365.31,1004.10,657.05,901.90,202.64,256.78,65.24,239.68,222.57,42.12,195.98,155.45,160.95,176.21,227.49,237.49,19.76,67.50,34.64,44.74,59.84,199.40
819.69,4334.67,6519.86,3214.14,3140.24,2821.54,1868.74,112.55,212.50,188.33,547.95,192.08,150.07,710.85,2075.79,1624.42,1718.12,2101.10,1658.08,929.95,1849.91,1932.67,1821.58,1782.79,1320.73,2018.61,869.64,1139.73,43.88,67.02,42.35,1264.25,1317.15,1507.61,1848.80,191.35,147.92,149.91,94.56,60.81,69.59,167.04,89.97,142.49,151.18,120.71,160.12,126.95,131.66,117.49,147.78,56.25,1839.10,991.51,1039.23,2069.30,1077.70,977.99,2162.66,1505.26,139.20,1075.09,578.08,1465.73,876.89,1411.19,1715.80,191.34,137.46,418.83,109.07,87.05,120.59,1144.21,541.83,1175.95,914.47,597.83,776.38,213.29,264.68,62.72,236.19,218.18,39.48,178.73,145.16,152.54,168.04,211.35,220.08,22.84,69.56,33.15,42.98,58.00,198.96
823.88,3628.36,5310.76,2554.57,2492.68,2227.93,1455.75,100.27,209.75,172.16,508.82,173.53,141.76,609.10,1711.57,1339.05,1368.96,1820.94,1345.32,845.33,1653.72,1735.28,1534.20,1411.18,1096.50,1620.48,717.49,958.96,38.65,64.59,34.69,1094.60,1114.90,1243.96,1492.92,176.53,137.89,130.72,86.19,53.60,60.60,158.67,80.64,132.95,144.73,107.63,145.22,119.41,120.85,106.51,144.79,46.24,1601.22,868.38,877.37,1819.34,1038.94,925.82,1749.34,1217.02,128.23,937.89,534.10,1382.99,807.29,1326.35,1600.93,190.23,128.53,417.54,115.38,89.61,124.92,1003.45,494.40,1021.44,841.61,554.67,728.51,223.28,275.79,60.59,236.09,215.69,38.18,163.12,140.93,144.97,158.93,196.04,201.92,27.65,73.70,32.70,42.90,57.69,198.15
828.08,2912.38,4207.74,2034.99,2043.98,1796.04,1169.09,89.47,207.01,158.72,470.76,155.75,132.48,538.99,1466.09,1156.24,1134.82,1635.51,1133.47,819.69,1534.17,1614.19,1348.88,1142.17,935.91,1326.73,593.19,840.16,34.37,62.16,29.16,986.50,989.28,1078.68,1237.20,164.22,126.60,110.84,78.73,47.50,53.37,150.30,71.05,125.55,139.83,95.53,131.12,112.33,108.98,97.25,140.34,37.96,1428.14,776.94,758.94,1664.05,1000.19,873.65,1456.63,989.33,123.78,838.32,500.21,1300.26,755.74,1241.51,1486.06,191.06,120.81,416.24,123.03,91.56,130.69,883.36,458.74,905.30,786.27,523.96,680.64,231.85,291.51,59.23,240.17,216.24,38.31,150.04,136.69,139.15,150.06,182.76,184.92,33.70,79.39,33.46,44.67,59.11,197.08
832.27,2292.82,3323.40,1665.62,1751.90,1505.57,983.51,80.84,204.12,153.75,437.51,140.24,123.60,493.32,1305.46,1042.35,983.19,1508.21,993.85,794.05,1459.81,1533.06,1238.56,967.95,831.67,1125.03,501.79,760.69,31.13,59.13,25.91,917.47,914.11,979.77,1071.39,155.33,116.14,93.01,72.74,42.88,48.22,135.42,62.12,120.70,136.73,85.41,119.01,106.41,97.46,90.63,135.55,31.77,1302.20,711.01,675.47,1567.75,954.09,810.21,1267.78,828.84,119.33,766.52,474.85,1181.33,716.54,1119.23,1318.73,193.37,114.78,417.92,131.47,93.50,137.49,790.05,432.19,820.99,745.00,502.34,611.18,238.61,313.11,58.94,248.38,220.58,40.05,140.05,130.57,135.76,142.49,172.36,170.52,40.40,85.99,35.48,48.29,62.40,195.90
836.46,1817.94,2684.35,1420.29,1566.25,1318.70,867.19,74.94,203.49,148.78,411.53,128.02,116.21,464.11,1199.66,970.28,884.49,1414.75,901.01,762.99,1408.88,1469.97,1176.58,864.57,768.98,990.61,438.66,732.45,30.14,58.06,24.84,871.08,891.28,919.96,970.49,149.83,107.88,78.59,68.50,40.09,45.45,123.37,54.60,118.83,135.64,77.94,109.64,102.19,87.60,87.46,131.59,27.87,1208.39,663.43,616.79,1503.02,924.75,771.15,1152.38,723.87,113.27,712.51,456.27,1094.54,685.16,1028.34,1195.51,196.58,110.78,424.77,140.07,98.66,144.92,720.79,411.96,759.57,713.98,494.73,561.21,243.66,341.13,59.89,260.07,228.79,43.47,133.46,127.22,135.43,137.06,165.53,159.62,47.10,92.88,38.65,53.51,67.47,194.86
840.66,1484.63,2256.38,1262.41,1446.14,1199.49,794.02,72.30,204.75,142.94,394.66,123.91,111.09,454.47,1127.00,921.02,817.74,1339.52,837.00,743.27,1369.84,1416.76,1142.71,806.78,733.50,945.53,396.20,704.21,29.15,59.08,25.66,836.48,868.45,880.71,909.92,147.23,102.28,67.84,66.14,39.49,45.32,114.76,49.11,120.33,136.88,73.63,103.44,100.24,80.27,88.27,129.57,26.38,1135.97,628.73,574.88,1451.92,903.99,745.29,1081.10,657.37,110.02,669.18,443.17,1029.24,658.00,957.67,1102.24,200.15,109.22,438.33,148.19,104.82,152.56,669.48,396.20,713.80,690.63,487.12,524.99,247.41,374.81,62.05,274.57,240.43,45.99,130.49,127.18,139.00,134.45,162.82,152.64,53.22,99.55,42.64,59.82,73.89,194.32
844.85,1262.59,1982.13,1160.72,1363.33,1121.01,746.13,73.28,207.65,141.74,389.10,119.80,108.85,444.83,1072.81,881.97,769.09,1306.43,789.78,728.77,1340.42,1396.47,1133.10,775.27,714.10,900.44,367.70,659.98,28.68,62.09,27.88,806.71,838.28,851.14,871.73,147.07,99.20,60.48,65.67,41.27,47.75,109.97,46.07,125.13,140.63,72.93,100.69,101.23,75.96,93.05,130.51,27.24,1076.34,602.52,543.73,1404.97,888.69,726.11,1032.60,636.09,109.30,631.96,434.03,977.72,631.88,899.05,1029.16,203.65,109.87,459.54,155.26,111.49,159.89,650.03,383.59,678.27,672.96,475.62,498.43,250.31,411.87,65.28,291.37,254.80,48.51,131.59,131.09,147.53,135.13,163.73,149.76,58.31,105.53,47.05,66.56,80.96,194.51
849.04,1116.97,1807.77,1093.20,1299.28,1065.00,711.91,77.71,211.74,145.38,397.40,116.16,110.03,430.64,1027.60,845.46,729.18,1273.35,751.06,715.34,1325.77,1376.19,1123.48,757.56,702.67,837.88,348.05,621.15,29.75,66.54,30.84,778.41,814.86,825.89,844.50,149.01,98.30,56.15,67.02,45.20,52.02,109.13,45.66,132.19,146.43,75.87,101.46,105.81,74.94,100.83,135.09,29.99,1022.12,580.35,518.18,1360.81,879.66,710.43,994.54,614.82,110.88,597.61,426.55,932.92,618.09,845.77,968.36,206.64,110.52,486.68,160.85,117.95,166.38,630.58,377.99,648.27,658.27,464.79,477.95,252.62,448.92,69.36,309.97,271.15,54.86,137.35,139.33,161.71,139.24,164.64,151.04,62.05,110.37,51.50,72.98,87.91,195.54
853.24,1020.20,1693.15,1044.94,1242.38,1019.79,683.77,84.55,216.01,153.17,420.88,117.54,114.90,418.07,986.66,808.43,692.22,1213.01,715.75,701.38,1334.83,1357.86,1111.25,746.54,693.56,791.61,333.12,584.13,31.92,71.31,33.72,752.14,793.48,803.78,821.39,152.68,99.24,54.53,69.81,50.45,56.76,111.75,47.65,139.33,152.88,81.54,105.41,114.03,77.38,109.57,143.14,33.63,968.31,557.84,493.83,1325.08,880.27,697.62,962.17,586.05,114.49,563.92,417.92,888.18,604.30,793.19,912.99,208.59,114.80,514.12,164.77,123.46,171.60,599.99,372.39,619.62,642.94,451.65,459.85,254.27,482.37,73.96,329.46,288.85,61.96,148.05,151.46,180.89,146.18,170.71,156.29,64.32,113.81,55.67,78.54,94.20,197.33
857.43,953.82,1611.46,1005.84,1186.84,979.20,657.44,91.83,218.95,163.15,457.28,123.80,122.93,404.88,949.88,771.87,656.12,1160.17,682.08,688.11,1374.11,1372.18,1103.72,739.06,683.65,753.66,319.54,548.40,34.33,75.06,35.60,731.60,773.08,786.72,799.05,157.25,101.51,55.07,73.26,55.65,60.32,116.39,51.20,143.90,157.82,87.91,111.40,124.88,82.91,116.63,153.16,36.69,914.10,531.97,467.95,1306.62,894.10,689.11,936.41,564.03,119.47,530.20,405.86,839.13,574.29,740.08,858.63,208.93,121.39,533.37,166.96,127.48,175.36,574.26,360.35,589.56,623.71,434.33,440.87,254.97,509.56,78.74,348.20,307.28,69.10,162.84,165.75,202.44,154.43,179.70,164.74,65.08,115.83,59.32,82.96,99.49,199.84
861.62,905.79,1546.20,970.12,1132.15,942.14,631.81,94.44,219.07,172.34,499.26,133.72,132.26,390.18,920.40,739.30,639.20,1118.70,651.17,678.66,1441.64,1423.15,1103.30,735.22,678.06,718.68,305.07,515.87,35.99,76.67,35.66,726.40,755.71,782.39,777.41,161.34,104.20,56.00,76.21,59.26,61.34,120.79,54.85,143.85,159.21,92.23,114.40,136.12,90.18,119.56,162.42,37.72,862.63,502.30,454.10,1311.18,922.31,687.34,921.46,543.80,124.45,497.63,397.73,785.62,542.72,688.86,804.93,207.16,128.69,536.40,167.17,129.72,177.62,549.98,345.51,573.61,599.31,412.86,419.31,254.40,529.31,83.34,356.14,325.63,75.54,179.26,179.22,222.06,158.08,189.12,174.68,64.42,116.20,62.30,86.25,103.65,203.03
865.82,867.95,1488.90,936.64,1081.42,911.19,608.25,97.06,215.64,177.60,535.58,144.84,140.03,374.54,901.85,714.45,622.27,1091.44,625.70,676.28,1525.36,1503.25,1114.68,737.04,672.47,684.45,288.98,489.56,36.18,75.60,33.51,721.19,744.82,778.06,759.03,163.31,106.10,56.92,77.50,60.11,59.34,122.46,56.96,138.58,156.00,92.22,117.39,144.94,96.77,117.04,167.83,35.84,818.68,471.01,440.25,1336.71,962.34,694.11,921.81,522.63,127.68,468.59,389.61,731.53,511.86,643.95,755.21,203.10,134.54,519.34,167.38,130.23,178.43,524.35,327.21,557.66,571.06,389.17,395.57,252.40,541.75,87.50,364.09,342.90,80.69,193.57,188.51,235.30,161.73,195.88,183.55,62.48,116.56,64.51,88.49,106.59,206.94
870.01,835.36,1437.90,908.05,1038.60,889.89,589.12,98.18,209.02,176.74,554.92,153.91,143.32,359.59,895.75,699.16,594.07,1078.27,608.39,683.27,1608.20,1594.49,1141.00,746.63,661.74,651.98,272.06,472.20,34.66,72.02,29.40,723.35,743.54,780.56,747.74,161.93,106.04,58.88,76.43,57.89,54.78,119.75,56.29,129.15,148.52,87.07,120.88,148.94,99.94,109.30,167.15,31.04,785.69,441.76,412.57,1373.87,1009.35,709.61,939.18,500.53,127.66,445.35,370.13,682.58,484.30,609.52,714.08,197.02,136.95,484.24,165.99,129.29,177.87,496.24,306.59,525.76,542.09,366.23,371.71,249.23,547.77,91.16,375.39,357.98,84.24,202.00,191.11,239.34,165.75,197.39,188.72,59.53,116.13,65.83,89.66,108.13,211.60
874.20,806.62,1396.41,888.22,1005.75,879.83,576.19,94.37,200.43,169.31,550.45,157.93,140.46,347.12,900.56,692.74,574.97,1076.50,601.28,701.26,1676.66,1676.45,1181.07,764.66,654.24,624.46,264.08,465.63,31.67,66.62,24.12,737.83,753.98,795.38,747.12,156.99,104.74,59.71,72.99,53.17,48.78,112.43,52.56,117.60,138.26,77.65,119.82,147.00,97.73,97.84,159.83,24.12,764.22,418.20,387.80,1411.79,1059.29,732.80,971.29,479.85,123.88,437.15,349.67,643.75,462.18,588.12,684.91,193.29,134.89,437.83,162.91,127.32,176.07,466.68,286.18,496.92,528.96,347.05,350.45,245.60,548.50,94.59,381.63,370.07,86.19,202.19,186.26,234.15,164.90,192.56,188.38,56.02,114.56,66.11,89.51,108.08,217.00
878.39,783.41,1369.05,879.15,981.91,879.26,569.79,86.41,191.42,156.71,522.51,155.27,131.68,338.18,912.70,692.75,567.25,1082.38,605.62,731.56,1726.04,1736.02,1229.93,790.64,652.61,605.28,256.11,470.78,27.77,60.36,18.66,762.95,777.95,822.96,760.01,149.36,103.43,58.61,67.88,47.09,42.60,101.80,46.53,106.19,127.18,66.03,113.54,139.52,89.87,84.82,147.16,16.24,752.48,403.04,368.77,1444.04,1110.46,762.98,1013.37,464.10,116.98,428.96,330.85,617.93,446.92,580.58,668.89,189.56,128.60,388.40,158.58,124.73,173.26,438.21,268.83,474.00,515.83,333.93,334.32,242.59,545.29,98.31,383.91,374.58,86.72,194.12,175.07,222.21,159.03,182.19,182.24,52.57,111.95,65.18,87.76,106.29,223.05
882.59,768.73,1357.70,879.64,964.01,884.04,569.07,76.19,183.40,141.57,477.88,146.19,118.75,332.74,928.03,696.19,571.74,1091.78,621.55,774.10,1758.21,1771.56,1282.37,824.70,658.82,596.41,243.30,487.31,23.64,54.28,13.83,797.05,817.19,864.20,789.04,140.61,98.54,55.46,62.22,40.93,37.30,90.01,39.59,96.70,117.10,54.48,103.06,128.07,77.88,78.55,131.51,8.59,748.09,397.76,357.65,1469.48,1161.34,800.03,1061.45,456.80,108.41,419.28,315.95,605.94,439.27,586.42,665.62,181.61,119.46,342.77,153.83,121.79,169.85,413.66,256.74,458.97,494.89,328.12,325.24,241.29,539.85,102.87,384.33,379.08,86.03,179.81,159.91,207.14,149.50,168.54,171.48,49.81,108.70,63.02,84.35,102.92,229.60
886.78,764.77,1358.96,886.20,948.60,889.76,572.48,65.94,177.39,126.76,426.44,132.54,104.15,330.14,942.48,699.95,587.88,1099.42,647.05,824.78,1774.11,1788.05,1335.79,868.60,674.45,598.08,235.70,512.63,19.92,49.25,10.18,838.12,871.56,919.68,836.35,132.35,92.26,50.90,57.22,35.71,33.56,79.25,33.12,90.17,109.30,44.89,90.57,121.38,64.36,72.28,115.50,2.05,748.98,400.15,355.67,1487.43,1206.46,842.55,1114.34,461.07,99.86,415.66,306.54,606.94,439.31,603.58,673.86,174.04,109.38,304.92,149.68,118.73,166.40,395.15,250.97,452.79,480.72,329.72,324.29,242.49,534.27,108.54,384.71,385.82,84.22,162.37,143.52,192.24,138.55,154.33,158.21,48.31,105.58,59.81,79.71,98.46,236.41
