Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Size (bp),Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),DQN,Threshold
"C7","SampC7",2,480,100.0,511.6353,142.1014,13063,480,,142.1014,511.6353,142.5070,9.7,300
"C7","SampC7",3,5000,,0.1643,0.5000,15904,5000,,142.1014,511.6353,142.5070,9.7,300
"C8","SampC8",1,35,,25.1986,0.5244,8671,35,,292.4364,1492.7615,286.9091,9.6,300
"C8","SampC8",2,48,4.5,520.8521,13.0532,9399,48,,292.4364,1492.7615,286.9091,9.6,300
"C8","SampC8",3,494,95.5,971.9093,279.3832,24635,494,,292.4364,1492.7615,286.9091,9.6,300
"C8","SampC8",4,5000,,0.1647,0.5000,13638,5000,,292.4364,1492.7615,286.9091,9.6,300
"C9","SampC9",1,35,,30.1959,0.6650,9443,35,,139.8427,492.7272,140.2709,9.8,300
"C9","SampC9",2,482,100.0,492.7272,139.8427,10780,482,,139.8427,492.7272,140.2709,9.8,300
"C9","SampC9",3,5000,,0.1643,0.5000,12843,5000,,139.8427,492.7272,140.2709,9.8,300
"C10","SampC10",1,35,,26.8678,0.5591,8918,35,,183.6176,726.8386,184.0239,9.6,300
"C10","SampC10",2,47,1.4,87.0212,2.6566,1908,47,,183.6176,726.8386,184.0239,9.6,300
"C10","SampC10",3,107,0.7,19.8186,1.2310,1170,107,,183.6176,726.8386,184.0239,9.6,300
"C10","SampC10",4,489,97.9,619.9988,179.7300,15089,489,,183.6176,726.8386,184.0239,9.6,300
"C10","SampC10",5,5000,,0.1643,0.5000,13583,5000,,183.6176,726.8386,184.0239,9.6,300
"C11","SampC11",1,35,,37.7891,0.9241,11077,35,,295.2408,1005.8214,296.2366,9.8,300
"C11","SampC11",2,498,100.0,1005.8214,295.2408,33249,498,,295.2408,1005.8214,296.2366,9.8,300
"C11","SampC11",3,5000,,0.1644,0.5000,16101,5000,,295.2408,1005.8214,296.2366,9.8,300
"C12","SampC12",1,35,,30.6465,0.7494,9852,35,,38.1835,131.9948,38.4514,9.8,300
"C12","SampC12",2,490,100.0,131.9948,38.1835,3999,490,,38.1835,131.9948,38.4514,9.8,300
"C12","SampC12",3,5000,,0.1643,0.5000,16656,5000,,38.1835,131.9948,38.4514,9.8,300
"D1","SampD1",1,35,,21.6021,0.4626,9838,35,,130.3901,452.6404,131.2721,9.8,300
"D1","SampD1",2,490,100.0,452.6404,130.3901,13352,490,,130.3901,452.6404,131.2721,9.8,300
"D1","SampD1",3,5000,,0.1644,0.5000,16683,5000,,130.3901,452.6404,131.2721,9.8,300
"D2","SampD2",1,35,,25.0637,0.5520,7954,35,,160.5171,598.8969,161.0353,9.6,300
"D2","SampD2",2,466,100.0,598.8969,160.5171,12626,466,,160.5171,598.8969,161.0353,9.6,300
"D2","SampD2",3,5000,,0.1647,0.5000,12492,5000,,160.5171,598.8969,161.0353,9.6,300
"D3","SampD3",1,35,,19.0880,0.4320,7783,35,,102.7268,364.2906,103.5542,9.8,300
"D3","SampD3",2,487,100.0,364.2906,102.7268,11062,487,,102.7268,364.2906,103.5542,9.8,300
"D3","SampD3",3,5000,,0.1645,0.5000,16160,5000,,102.7268,364.2906,103.5542,9.8,300
"D4","SampD4",1,35,,28.6269,0.6305,10943,35,,105.7191,386.5587,106.2462,9.7,300
"D4","SampD4",2,474,100.0,386.5587,105.7191,10571,474,,105.7191,386.5587,106.2462,9.7,300
"D4","SampD4",3,5000,,0.1639,0.5000,16356,5000,,105.7191,386.5587,106.2462,9.7,300
"D5","SampD5",1,35,,21.1195,0.4651,9303,35,,90.9844,345.0443,91.5984,9.7,300
"D5","SampD5",2,63,0.4,8.2923,0.3186,675,63,,90.9844,345.0443,91.5984,9.7,300
"D5","SampD5",3,461,99.6,336.7520,90.6658,9810,461,,90.9844,345.0443,91.5984,9.7,300
"D5","SampD5",4,5000,,0.1641,0.5000,17447,5000,,90.9844,345.0443,91.5984,9.7,300
"D6","SampD6",1,35,,23.8854,0.5841,8853,35,,116.9445,427.6040,118.8500,9.6,300
"D6","SampD6",2,476,100.0,427.6040,116.9445,12226,476,,116.9445,427.6040,118.8500,9.6,300
"D6","SampD6",3,5000,,0.1639,0.5000,16772,5000,,116.9445,427.6040,118.8500,9.6,300
"D7","SampD7",1,35,,28.5172,0.6800,8870,35,,111.7010,410.2534,112.3651,9.6,300
"D7","SampD7",2,485,100.0,410.2534,111.7010,10957,485,,111.7010,410.2534,112.3651,9.6,300
"D7","SampD7",3,5000,,0.1645,0.5000,16049,5000,,111.7010,410.2534,112.3651,9.6,300
"D8","SampD8",1,35,,32.7938,0.8219,10637,35,,20.6437,73.6831,21.0593,9.7,300
"D8","SampD8",2,490,100.0,73.6831,20.6437,2071,490,,20.6437,73.6831,21.0593,9.7,300
"D8","SampD8",3,5000,,0.1642,0.5000,16908,5000,,20.6437,73.6831,21.0593,9.7,300
"D9","SampD9",1,35,,22.6938,0.4998,9237,35,,85.1523,301.9678,85.5346,9.7,300
"D9","SampD9",2,486,100.0,301.9678,85.1523,8195,486,,85.1523,301.9678,85.5346,9.7,300
"D9","SampD9",3,5000,,0.1640,0.5000,15874,5000,,85.1523,301.9678,85.5346,9.7,300
"D10","SampD10",1,35,,24.3378,0.5656,8462,35,,91.4124,317.3318,92.0725,9.8,300
"D10","SampD10",2,487,100.0,317.3318,91.4124,8271,487,,91.4124,317.3318,92.0725,9.8,300
"D10","SampD10",3,5000,,0.1644,0.5000,14413,5000,,91.4124,317.3318,92.0725,9.8,300
"D11","SampD11",1,35,,23.1486,0.5239,9407,35,,91.2681,312.8727,91.7368,9.9,300
"D11","SampD11",2,489,100.0,312.8727,91.2681,9296,489,,91.2681,312.8727,91.7368,9.9,300
"D11","SampD11",3,5000,,0.1643,0.5000,16153,5000,,91.2681,312.8727,91.7368,9.9,300
"D12","SampD12",1,35,,22.9605,0.5336,9446,35,,101.1800,454.4610,101.7123,9.4,300
"D12","SampD12",2,65,4.4,112.1590,4.4459,9191,65,,101.1800,454.4610,101.7123,9.4,300
"D12","SampD12",3,471,95.6,342.3020,96.7342,10969,471,,101.1800,454.4610,101.7123,9.4,300
"D12","SampD12",4,5000,,0.1639,0.5000,17065,5000,,101.1800,454.4610,101.7123,9.4,300
"E1","SampE1",1,35,,21.3837,0.4450,8687,35,,0.0000,0.0000,0.9214,9.9,300
"E1","SampE1",2,5000,,0.1646,0.5000,14880,5000,,0.0000,0.0000,0.9214,9.9,300
"E2","SampE2",1,35,,21.4363,0.4591,9088,35,,0.0000,0.0000,0.4524,10.0,300
"E2","SampE2",2,5000,,0.1640,0.5000,15022,5000,,0.0000,0.0000,0.4524,10.0,300
"E3","SampE3",1,35,,22.0131,0.4581,9021,35,,0.0000,0.0000,0.6937,9.8,300
"E3","SampE3",2,5000,,0.1641,0.5000,15021,5000,,0.0000,0.0000,0.6937,9.8,300
"E4","SampE4",1,35,,23.4359,0.5019,9304,35,,0.0000,0.0000,0.5321,10.0,300
"E4","SampE4",2,5000,,0.1647,0.5000,14219,5000,,0.0000,0.0000,0.5321,10.0,300
"E5","SampE5",1,35,,19.5111,0.4179,8859,35,,0.0000,0.0000,0.3945,10.0,300
"E5","SampE5",2,5000,,0.1643,0.5000,15898,5000,,0.0000,0.0000,0.3945,10.0,300
"E6","SampE6",1,35,,19.3887,0.4152,9480,35,,0.0000,0.0000,0.4373,10.0,300
"E6","SampE6",2,5000,,0.1643,0.5000,17099,5000,,0.0000,0.0000,0.4373,10.0,300
"E7","SampE7",1,35,,20.7277,0.4313,9125,35,,0.0000,0.0000,0.4354,10.0,300
"E7","SampE7",2,5000,,0.1642,0.5000,16156,5000,,0.0000,0.0000,0.4354,10.0,300
"E8","SampE8",1,35,,19.0590,0.4082,8221,35,,0.0000,0.0000,0.4801,10.0,300
"E8","SampE8",2,5000,,0.1638,0.5000,15168,5000,,0.0000,0.0000,0.4801,10.0,300
"E9","SampE9",1,35,,20.9870,0.4367,9441,35,,0.0000,0.0000,0.3864,10.0,300
"E9","SampE9",2,5000,,0.1645,0.5000,16608,5000,,0.0000,0.0000,0.3864,10.0,300
"E10","SampE10",1,35,,20.5053,0.4267,8547,35,,0.0000,0.0000,0.6950,10.0,300
"E10","SampE10",2,5000,,0.1644,0.5000,15150,5000,,0.0000,0.0000,0.6950,10.0,300
"E11","SampE11",1,35,,19.9980,0.4283,8807,35,,0.0000,0.0000,0.3860,10.0,300
"E11","SampE11",2,5000,,0.1641,0.5000,15192,5000,,0.0000,0.0000,0.3860,10.0,300
"E12","SampE12",1,35,,18.2658,0.3912,8085,35,,0.0000,0.0000,0.4519,10.0,300
"E12","SampE12",2,5000,,0.1638,0.5000,15407,5000,,0.0000,0.0000,0.4519,10.0,300
"F1","SampF1",1,35,,20.7169,0.4437,8686,35,,0.0000,0.0000,0.5964,8.1,300
"F1","SampF1",2,5000,,0.1644,0.5000,14700,5000,,0.0000,0.0000,0.5964,8.1,300
"F2","SampF2",1,35,,20.5923,0.4285,10912,35,,0.0000,0.0000,0.2674,10.0,300
"F2","SampF2",2,5000,,0.1640,0.5000,17349,5000,,0.0000,0.0000,0.2674,10.0,300
"F3","SampF3",1,35,,22.4669,0.4812,9801,35,,0.0000,0.0000,0.3559,9.8,300
"F3","SampF3",2,5000,,0.1641,0.5000,15139,5000,,0.0000,0.0000,0.3559,9.8,300
"F4","SampF4",1,35,,21.2756,0.4557,8966,35,,0.0000,0.0000,0.2603,10.0,300
"F4","SampF4",2,5000,,0.1642,0.5000,14934,5000,,0.0000,0.0000,0.2603,10.0,300
"F5","SampF5",1,35,,22.1063,0.4734,10381,35,,0.0000,0.0000,0.4417,9.7,300
"F5","SampF5",2,5000,,0.1642,0.5000,16721,5000,,0.0000,0.0000,0.4417,9.7,300
"F6","SampF6",1,35,,21.0222,0.4502,11065,35,,0.0000,0.0000,0.5162,10.0,300
"F6","SampF6",2,5000,,0.1643,0.5000,18763,5000,,0.0000,0.0000,0.5162,10.0,300
"F7","SampF7",1,35,,23.4545,0.5023,9837,35,,0.0000,0.0000,0.4048,10.0,300
"F7","SampF7",2,5000,,0.1643,0.5000,14871,5000,,0.0000,0.0000,0.4048,10.0,300
"F8","SampF8",1,35,,21.0494,0.4380,10751,35,,0.0000,0.0000,0.6149,8.9,300
"F8","SampF8",2,5000,,0.1642,0.5000,19895,5000,,0.0000,0.0000,0.6149,8.9,300
